"Round","Pick","Player","Name","Team","Position","College","year"
"","13","148","Chris Greenwood","Lions","DB","Albion",2012
"","14","149","Johnnie Troutman","Chargers","G","Penn State",2012
"","15","150","Rokevious Watkins","Rams","T","South Carolina",2012
"","16","151","Senio Kelemete","Cardinals","T","Washington",2012
"","17","152","Danny Coale","Cowboys","WR","Virginia Tech",2012
"","18","153","Dennis Kelly","Eagles","T","Purdue",2012
"","19","154","Korey Toomer","Seahawks","LB","Idaho",2012
"","20","155","Josh Kaddu","Dolphins","LB","Oregon",2012
"","21","156","Shaun Prater","Bengals","DB","Iowa",2012
"","22","157","Bradie Ewing","Falcons","RB","Wisconsin",2012
"","23","158","Jack Crawford","Raiders","DE","Penn State",2012
"","24","159","Chris Rainey","Steelers","RB","Florida",2012
"","25","160","Ryan Miller","Browns","G","Colorado",2012
"","26","161","Randy Bullock","Texans","K","Texas A&M",2012
"","27","162","Corey White","Saints","DB","Samford",2012
"","28","163","Terrell Manning","Packers","LB","North Carolina State",2012
"","29","164","Jonathan Massaquoi","Falcons","DE","Troy",2012
"","30","165","Darius Fleming","49ers","LB","Notre Dame",2012
"","31","166","Marvin Jones","Bengals","WR","California",2012
"","32","167","George Iloka","Bengals","DB","Boise State",2012
"","33","168","Juron Criner","Raiders","WR","Arizona",2012
"","34","169","Asa Jackson","Ravens","DB","Cal Poly",2012
"","35","170","Vick Ballard","Colts","RB","Mississippi State",2012
"6","1","171","Greg Zuerlein","Rams","K","Missouri Western",2012
"","2","172","Jeremy Lane","Seahawks","DB","Northwestern State (LA)",2012
"","3","173","Alfred Morris","Redskins","RB","Florida Atlantic",2012
"","4","174","Keith Tandy","Buccaneers","DB","West Virginia",2012
"","5","175","Blair Walsh","Vikings","K","Georgia",2012
"","6","176","Mike Harris","Jaguars","DB","Florida State",2012
"","7","177","Justin Bethel","Cardinals","DB","Presbyterian",2012
"","8","178","Mark Asper","Bills","G","Oregon",2012
"","9","179","Andrew Tiller","Saints","G","Syracuse",2012
"","10","180","Trent Robinson","49ers","DB","Michigan State",2012
"","11","181","Winston Guy","Seahawks","DB","Kentucky",2012
"","12","182","Cyrus Gray","Chiefs","RB","Texas A&M",2012
"","13","183","B.J. Cunningham","Dolphins","WR","Michigan State",2012
"","14","184","Isaiah Frey","Bears","DB","Nevada",2012
"","15","185","Ryan Lindley","Cardinals","QB","San Diego State",2012
"","16","186","James Hanna","Cowboys","TE","Oklahoma",2012
"","17","187","Josh Bush","Jets","DB","Wake Forest",2012
"","18","188","Danny Trevathan","Broncos","LB","Kentucky",2012
"","19","189","Christo Bilukidi","Raiders","DE","Georgia State",2012
"","20","190","Markelle Martin","Titans","DB","Oklahoma State",2012
"","21","191","Dan Herron","Bengals","RB","Ohio State",2012
