college_name,state,percent_female,percent_stem,division_1_football_classifications,school_sector,undergraduate_enrollment,mid_career_median_pay
Neumann University,Pennsylvania,53,5,Not Division 1 Football,Private not-for-profit,2753,85e3
Amberton University,Texas,49,1,Not Division 1 Football,Private not-for-profit,386,85e3
University of Central Florida,Florida,43,18,American Athletic,Public,63692,84900
Idaho State University,Idaho,41,14,Not Division 1 Football,Public,13626,84900
Bowie State University,Maryland,49,15,Not Division 1 Football,Public,4873,84900
University of Wisconsin-Milwaukee,Wisconsin,40,17,Not Division 1 Football,Public,25552,84900
Northern Arizona University,Arizona,47,13,Not Division 1 Football,Public,28303,84800
Transylvania University,Kentucky,46,23,Not Division 1 Football,Private not-for-profit,1061,84800
Hope College,Michigan,48,24,Not Division 1 Football,Private not-for-profit,3601,84800
SUNY Oneonta,New York,48,13,Not Division 1 Football,Public,6311,84800
Messiah College,Pennsylvania,49,13,Not Division 1 Football,Private not-for-profit,2916,84800
Houston Baptist University,Texas,50,9,Not Division 1 Football,Private not-for-profit,2666,84800
Marymount University,Virginia,53,14,Not Division 1 Football,Private not-for-profit,2748,84800
Western Governors University,Utah,50,11,Not Division 1 Football,Private not-for-profit,76073,84800
Washington College,Maryland,44,22,Not Division 1 Football,Private not-for-profit,1482,84700
College for Creative Studies,Michigan,38,1,Not Division 1 Football,Private not-for-profit,1467,84700
University of Nebraska at Omaha,Nebraska,40,16,Not Division 1 Football,Public,14621,84700
CUNY John Jay College of Criminal Justice,New York,45,2,Not Division 1 Football,Public,15452,84700
University of South Carolina-Columbia,South Carolina,41,20,SEC,Public,25594,84700
Whitworth University,Washington,50,21,Not Division 1 Football,Private not-for-profit,2427,84700
Stephen F Austin State University,Texas,50,6,Not Division 1 Football,Public,12040,84600
University of Wisconsin-La Crosse,Wisconsin,44,20,Not Division 1 Football,Public,10385,84600
California State University-Dominguez Hills,California,51,6,Not Division 1 Football,Public,13040,84500
University of New Haven,Connecticut,37,24,Not Division 1 Football,Private not-for-profit,5386,84500
Saint Xavier University,Illinois,56,10,Not Division 1 Football,Private not-for-profit,3376,84500
Bloomfield College,New Jersey,52,14,Not Division 1 Football,Private not-for-profit,2185,84500
